"ID","COHORT","TYPE","SAIL"
"32058122C","MARINE","C",1
"3202A122C","MARINE","C",1
"32491122C","MARINE","C",1
"31EE5122C","MARINE","C",1
"3219E122C","MARINE","C",1
"3229F122C","MARINE","C",1
"30072122C","MARINE","C",1
"2FD82122C","MARINE","C",1
"32399122C","MARINE","C",1
"323AA122C","MARINE","C",1
"32326122C","MARINE","C",1
"322A2122C","MARINE","C",1
"3221C122C","MARINE","C",1
"31ED3122C","MARINE","C",1
"31FAB122C","MARINE","C",1
"322A5122C","MARINE","C",1
"3284D122C","MARINE","C",1
"3284E122C","MARINE","C",1
"32027122C","MARINE","C",1
"321A7122C","MARINE","C",1
"325C6122C","MARINE","C",1
"3218D122C","MARINE","C",1
"31E58122C","MARINE","C",1
"3213A122C","MARINE","C",1
"3271B122C","MARINE","C",1
"2F7C6122C","MARINE","C",1
"31F25122C","MARINE","C",1
"2FE32122C","MARINE","C",1
"322A1122C","MARINE","C",1
"31F6E122C","MARINE","C",1
"32852122C","MARINE","C",1
"31EDB122C","MARINE","C",1
"3218B122C","MARINE","C",1
"31E4F122C","MARINE","C",1
"2FBC5122C","MARINE","C",1
"31ED5122C","MARINE","C",1
"2FFE3122C","MARINE","C",1
"32653122C","MARINE","C",1
"320E6122C","MARINE","C",1
"3242E122C","MARINE","C",1
"320E8122C","MARINE","C",1
"32229122C","MARINE","C",1
"3222A122C","MARINE","C",1
"31F64122C","MARINE","C",1
"32029122C","MARINE","C",1
"32435122C","MARINE","C",1
"32649122C","MARINE","C",1
"324B6122C","MARINE","C",1
"32495122C","MARINE","C",1
"3230F122C","MARINE","C",1
"321A5122C","MARINE","C",1
"3204C122C","MARINE","C",1
"32188122C","MARINE","C",1
"3250D122C","MARINE","C",1
"320B6122C","MARINE","C",1
"2EB7C122C","MARINE","C",1
"31E50122C","MARINE","C",1
"3222D122C","MARINE","C",1
"2EE1B122C","MARINE","C",1
"3259C122C","MARINE","C",1
"3241A122C","MARINE","C",1
"324B7122C","MARINE","C",1
"32230122C","MARINE","C",1
"32134122C","MARINE","C",1
"321A4122C","MARINE","C",1
"3229E122C","MARINE","C",1
"32493122C","MARINE","C",1
"3239C122C","MARINE","C",1
"32213122C","MARINE","C",1
"32026122C","MARINE","C",1
"32320122C","MARINE","C",1
"3219F122C","MARINE","C",1
"32125122C","MARINE","C",1
"3259B122C","MARINE","C",1
"3248C122C","MARINE","C",1
"320E4122C","MARINE","C",1
"32233122C","MARINE","C",1
"3219D122C","MARINE","C",1
"3221A122C","MARINE","C",1
"325C1122C","MARINE","C",1
"2EB1E122C","MARINE","C",1
"32190122C","MARINE","C",1
"3229B122C","MARINE","C",1
"3239A122C","MARINE","C",1
"31F68122C","MARINE","C",1
"31F29122C","MARINE","C",1
"32123122C","MARINE","C",1
"32432122C","MARINE","C",1
"3222C122C","MARINE","C",1
"3221B122C","MARINE","C",1
"323A0122C","MARINE","C",1
"32325122C","MARINE","C",1
"32398122C","MARINE","C",1
"320E3122C","MARINE","C",1
"32798122C","MARINE","C",1
"3242D122C","MARINE","C",1
"322A0122C","MARINE","C",1
"322A7122C","MARINE","C",1
"32415122C","MARINE","C",1
"3229D122C","MARINE","C",1
"320E2122C","MARINE","C",1
"32216122C","MARINE","C",1
"3211B122C","MARINE","C",1
"32232122C","MARINE","C",1
"323A6122C","MARINE","C",1
"3239D122C","MARINE","C",1
"327CB122C","MARINE","C",1
"32299122C","MARINE","C",1
"324B9122C","MARINE","C",1
"324B2122C","MARINE","C",1
"32853122C","MARINE","C",1
"32327122C","MARINE","C",1
"3205D122C","MARINE","C",1
"31FAE122C","MARINE","C",1
"326B1122C","MARINE","C",1
"30073122C","MARINE","C",1
"3241D122C","MARINE","C",1
"32297122C","MARINE","C",1
"3232A122C","MARINE","C",1
"3248D122C","MARINE","C",1
"32211122C","MARINE","C",1
"2F63A122C","MARINE","C",1
"3288B122C","MARINE","C",1
"324AE122C","MARINE","C",1
"31FA5122C","MARINE","C",1
"31F2B122C","MARINE","C",1
"32022122C","MARINE","C",1
"31FA9122C","MARINE","C",1
"3229C122C","MARINE","C",1
"3213D122C","MARINE","C",1
"3213E122C","MARINE","C",1
"3248A122C","MARINE","C",1
"31FD7122C","MARINE","C",1
"3202C122C","MARINE","C",1
"3280C122C","MARINE","C",1
"32312122C","MARINE","C",1
"32436122C","MARINE","C",1
"3218E122C","MARINE","C",1
"31FD3122C","MARINE","C",1
"2ECFB122C","MARINE","C",1
"3000F122C","MARINE","C",1
"2F394122C","MARINE","C",1
"2FD75122C","MARINE","C",1
"2FFDE122C","MARINE","C",1
"2FC95122C","MARINE","C",1
"2FE35122C","MARINE","C",1
"2FE33122C","MARINE","C",1
"2FE83122C","MARINE","C",1
"30103122C","MARINE","C",1
"2FF54122C","MARINE","C",1
"2F0D4122C","MARINE","C",1
"2EBCC122C","MARINE","C",1
"2EC06122C","MARINE","C",1
"2F2F7122C","MARINE","C",1
"300F8122C","MARINE","C",1
"2FF09122C","MARINE","C",1
"2FF92122C","MARINE","C",1
"30018122C","MARINE","C",1
"2F3FD122C","MARINE","C",1
"2ED9A122C","MARINE","C",1
"2F84F122C","GAMING","C",1
"2FC27122C","GAMING","C",1
"2FCFE122C","GAMING","C",1
"2F582122C","GAMING","C",1
"2F956122C","GAMING","C",1
"2F69E122C","GAMING","C",1
"2FD86122C","GAMING","C",1
"2FA03122C","GAMING","C",1
"2FD18122C","GAMING","C",1
"3000E122C","GAMING","C",1
"2FEC8122C","GAMING","C",1
"2F955122C","GAMING","C",1
